"","Tract","Point","Latitude","Longitude","Point_Full"
"1","10","K",41.38662578,-88.01766685,"10_K"
"2","10","G",41.38901979,-88.01933131,"10_G"
"3","10","B",41.39330981,-88.0109546,"10_B"
"4","10","I",41.38909308,-88.01255068,"10_I"
"5","10","O",41.38493833,-88.01257141,"10_O"
"6","10","L",41.38672228,-88.01400486,"10_L"
"7","10","C",41.39332925,-88.0069076,"10_C"
"8","10","H",41.38898135,-88.01612737,"10_H"
"9","10","A",41.39321547,-88.01438268,"10_A"
"10","100","E",41.38555526,-88.17548088,"100_E"
"11","100","B",41.37966014,-88.17606543,"100_B"
"12","100","A",41.37962507,-88.17949075,"100_A"
"13","100","C",41.38214032,-88.17975724,"100_C"
"14","100","D",41.38219817,-88.17613879,"100_D"
"15","104","I",41.35005583,-88.15063817,"104_I"
"16","104","B",41.3577219,-88.14598173,"104_B"
"17","105","D",41.36916227,-88.14609739,"105_D"
"18","105","B",41.37262672,-88.14718035,"105_B"
"19","105","C",41.36913335,-88.14899743,"105_C"
"20","105","F",41.36332334,-88.14732076,"105_F"
"21","105","G",41.36103256,-88.14540231,"105_G"
"22","108N","N",41.36454697,-88.16018663,"108N_N"
"23","108N","T",41.36473485,-88.15391969,"108N_T"
"24","108N","B",41.37254904,-88.15286988,"108N_B"
"25","108N","A",41.37536091,-88.15261564,"108N_A"
"26","108N","S",41.36442833,-88.16369255,"108N_S"
"27","108N","J",41.37535533,-88.15938413,"108N_J"
"28","108N","F",41.37255601,-88.15632322,"108N_F"
"29","108N","O",41.37607788,-88.16202154,"108N_O"
"30","108N","Q",41.36999192,-88.16296296,"108N_Q"
"31","108N","L",41.36988112,-88.15950792,"108N_L"
"32","108N","R",41.36665765,-88.16342842,"108N_R"
"33","108S","D",41.35824535,-88.16436624,"108S_D"
"34","108S","J",41.3549547,-88.15805617,"108S_J"
"35","108S","H",41.35580038,-88.16477731,"108S_H"
"36","108S","E",41.35797934,-88.16102725,"108S_E"
"37","108S","C",41.3601146,-88.15735194,"108S_C"
"38","108S","N",41.35305853,-88.15357092,"108S_N"
"39","108S","L",41.3531502,-88.16007004,"108S_L"
"40","109","I",41.39151904,-88.17224464,"109_I"
"41","109","D",41.38247461,-88.1673851,"109_D"
"42","109","Q",41.40449908,-88.17275431,"109_Q"
"43","109","R",41.40473945,-88.16753481,"109_R"
"44","109","G",41.38860762,-88.17205417,"109_G"
"45","109","E",41.3857589,-88.17183722,"109_E"
"46","109","K",41.39642838,-88.17241576,"109_K"
"47","109","A",41.37977355,-88.17106667,"109_A"
"48","109","L",41.39650397,-88.16702814,"109_L"
"49","109","N",41.40183734,-88.17256826,"109_N"
"50","11","D",41.39083877,-88.02373937,"11_D"
"51","11","E",41.38873522,-88.02887691,"11_E"
"52","11","C",41.39084086,-88.02758849,"11_C"
"53","11","B",41.39258646,-88.02202008,"11_B"
"54","12","A",41.39227141,-88.04636243,"12_A"
"55","12","B",41.39241112,-88.04157189,"12_B"
"56","12","C",41.39036383,-88.04445739,"12_C"
"57","128","H",41.36468467,-88.17532613,"128_H"
"58","128","A",41.36751404,-88.18554251,"128_A"
"59","128","B",41.36753017,-88.18195175,"128_B"
"60","128","D",41.36755476,-88.17548828,"128_D"
"61","128","G",41.36494347,-88.17850737,"128_G"
"62","13","D",41.39049081,-88.03212872,"13_D"
"63","13","B",41.39252528,-88.03188162,"13_B"
